Região;Imunobiológico;População;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19;jan/20;fev/20;mar/20;abr/20;mai/20;jun/20;jul/20;ago/20;set/20;out/20;nov/20;dez/20;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;jan/23;fev/23;mar/23
42 - SANTA CATARINA;BCG;89874;9985;8550;7667;10284;7778;9339;7606;6596;7636;6100;6012;5264;8411;8231;8436;7992;7511;8055;7084;7389;8669;6092;6330;6016;6119;5876;7844;7828;7355;6781;7175;6892;7285;5585;5618;6285;7761;5951;7943;7573;7359;7536;6803;8102;6766;7698;7624;7212;7868;6981;7465;7187;7693;7150;7424;6867;6578;6142;5402;5054;7507;7345;6037;6594;6346;7842;7923;7119;6744;6242;5898;5947;6403;5920;6989;6025;5889;6061;5913;6032;5805;5313;4873;4415;5671;5896;6901;5484;8076;8166;7314;7708;7106;7125;6986;6895;7461;6387;6792
42 - SANTA CATARINA;DTP - 01 ano(1º REF);89874;7179;6529;6860;6278;7877;6316;7306;5163;5519;5414;6392;4663;6698;5638;5633;7025;6858;6922;6944;6642;8123;5240;6491;4856;7864;5136;6988;5685;7383;6395;6826;7185;4190;6452;6551;4691;7185;5685;5752;5843;6375;5628;7821;9997;5099;8573;7934;5100;7328;6085;4245;5864;6366;7832;8626;3728;881;736;1306;380;14509;9697;6414;6201;8524;6848;7180;6725;6369;9713;6063;4121;6366;6160;6183;7536;6394;5765;6770;6869;6209;6745;6904;5096;6128;5853;5864;5312;5040;5709;6963;8993;7952;6643;6288;5012;7017;5534;6030
42 - SANTA CATARINA;FA(< 1 ano);89874;2704;2362;2280;2005;1656;1541;2141;1181;1657;1823;1957;1619;2587;2114;2107;1909;1536;1996;2204;2105;3683;1745;2236;1623;2801;2056;2638;1602;1810;1903;1836;1868;3129;1854;2288;1863;3356;3278;3736;4261;4519;4479;5028;5924;4627;6293;6416;4919;8313;7928;8054;7466;6949;6176;7615;6086;4141;8123;7746;4922;9117;6720;5417;5045;7006;6467;6029;5666;6026;7311;6533;5138;7795;6255;6579;6503;5277;5866;5679;6233;5704;5927;6435;5193;6528;6315;6593;4815;2206;5374;7283;7460;6127;6161;6754;5171;8289;6329;7043
42 - SANTA CATARINA;Hepatite A;89874;8369;8389;9181;8112;9741;7820;8225;6766;5978;5565;4637;2656;2306;1124;4916;6397;7377;7756;7748;7233;9108;5450;6830;5029;7809;5305;6665;5524;7238;6383;6528;7018;7723;6187;6374;4691;7107;5634;5705;6037;6943;6493;8280;11055;5661;7960;7618;4979;7507;6582;7603;7733;8114;6612;8744;9141;8336;10378;7698;4686;8439;7620;5585;5078;7781;7531;7431;7234;7219;11153;7347;5114;6879;5926;6179;7089;6423;6018;7020;7053;6520;6888;7313;5407;6624;6535;6553;5954;6004;6425;7843;10125;9104;7530;7785;5572;7925;6144;7054
42 - SANTA CATARINA;Menigocócica Conj.C(1 ano);89874;7939;7967;8184;7798;8815;7700;7765;5772;5665;5585;6040;4661;8935;7728;7561;8031;7399;7331;7073;6524;8044;5143;6461;4630;8341;6108;8281;6370;7942;6489;6530;7059;7612;5943;5947;4172;7525;6787;7025;7633;7915;6948;6561;8834;4479;6924;6403;5459;8893;7881;7770;8313;8502;6939;8281;8971;7866;9241;6801;4201;8181;7137;5373;5288;8357;8019;7119;6865;7276;10085;6308;4485;7095;6793;6409;7770;6431;6325;6368;6536;6226;6631;6781;4748;6147;6940;6731;6036;6056;6327;7281;9243;7991;6236;6458;4700;7586;6465;7241
42 - SANTA CATARINA;Menigocócica Conj.C(< 1 ano);89874;9761;8072;8566;7475;8224;7637;8852;5678;7522;7617;7681;5751;9477;7659;7557;7107;7274;7548;7430;7556;11985;6465;7906;5626;8973;5761;7450;5736;6798;6355;7200;8065;12148;8644;8391;6040;9528;7374;7120;6849;7024;6714;6353;7500;6506;8632;7797;7566;9132;8074;7986;8142;7879;7001;8798;8259;8507;9324;7822;5480;9108;6837;5540;5984;7623;7348;8740;7954;7766;8640;8003;6234;8193;6673;6952;6959;6329;6259;7265;7204;7048;7043;7253;5992;7170;6745;6918;6268;7034;6732;7664;8373;8476;8350;8062;6408;8816;6695;7244
42 - SANTA CATARINA;Pentavalente (< 1 ano);89874;9744;7735;8844;7416;7412;6995;7997;5174;6614;7220;7578;6019;8679;7163;7556;7017;6786;7125;6995;7522;12010;6853;7800;5512;9138;5506;7281;5471;5823;3638;5878;6521;11387;7866;7375;6564;10493;5878;5417;8184;6125;7124;6744;9210;6891;9239;8438;6215;9047;7239;8730;7438;7779;6795;8009;4656;1256;3280;5386;1072;9959;3660;5215;5961;7474;6980;8090;7288;6746;10331;8043;7090;8476;6836;7579;7007;6434;6173;6553;7504;6799;6908;7265;5998;7327;6638;7199;6014;6219;6177;7199;8381;7734;8076;7995;6512;8964;6708;7810
42 - SANTA CATARINA;Pneumocóccica(1 ano);89874;7645;7879;8048;7853;8760;7379;7726;5604;5719;5516;6108;4655;8099;6553;6613;7635;7248;7289;6965;6662;8194;5218;6474;4655;8455;5890;7421;5801;7351;6197;6097;6667;7193;5622;5617;4095;7183;6375;6633;7342;7359;6778;7841;11362;4775;6288;6416;4572;7984;7452;7953;8076;8439;6839;8378;9271;8075;9423;6066;4377;7622;6892;5318;5153;8117;7571;7012;6361;6810;9650;5895;4308;6707;6511;6153;7594;6256;6097;5997;6203;5787;6148;6436;4555;6092;6873;6718;5984;6069;6244;7310;9104;8110;6200;6526;4730;7543;6501;6916
42 - SANTA CATARINA;Pneumocóccica(<1 ano);89874;9744;7724;8979;7546;7592;7097;8140;5341;6824;7240;7698;5936;9495;7068;7828;7157;7532;8204;7759;8118;11495;6947;7941;5839;8680;5059;6975;5348;6541;6644;7278;7960;12222;8533;7542;5781;8593;5807;6642;6754;7057;7406;7817;8736;7247;8784;7660;6341;9392;6840;8475;7865;7904;7513;8828;8868;8625;8991;7371;5689;9006;6152;5866;6772;8025;8155;8958;8789;8059;8742;7652;6478;8611;6223;7274;6936;6850;7081;6997;7572;7402;7347;7374;6077;7621;6502;7318;6243;7476;7527;7790;9268;8550;8364;7848;6730;8978;6193;7550
42 - SANTA CATARINA;Poliomielite(< 1 ano);89874;9459;7629;8724;7208;7306;6667;7680;5497;6121;7117;7330;5798;6281;6193;7372;6868;6733;6858;6766;7438;11637;6769;7650;5302;9283;5653;7910;5593;6551;5692;6500;7032;11455;8232;7982;6368;10102;6991;7460;7084;6368;6501;7152;8584;6570;8975;8281;6203;9046;7304;8789;7490;7838;6802;8335;8131;7418;8739;7233;5160;8993;6285;5768;5916;7184;7181;7823;7661;7366;8816;7815;6447;8211;6513;7434;6726;6364;6101;6525;7442;6752;6872;7229;5950;7256;6641;7221;5674;6370;6103;7277;8442;7804;8156;8040;6526;8998;6707;7773
42 - SANTA CATARINA;Poliomielite(VOP/VIP)(1ºREF);89874;6610;6119;6462;5925;7765;6196;7150;4812;4313;4000;4624;3496;5237;4857;3716;138;38;53;105;66;20236;7211;7151;4881;7834;5119;6885;5629;7504;6257;6534;6912;8069;6411;6475;4571;7130;5662;5770;5903;6706;6179;8042;9273;4881;7481;7113;4693;7176;6369;7003;6893;7363;6195;7956;8033;6999;9484;5905;3689;8711;6069;5181;4873;7733;7481;7441;7198;6900;10586;6459;4726;6445;5636;5899;7107;6170;5669;6627;6470;6127;6829;6960;5143;6184;5951;5934;5404;5490;5843;7111;8373;7496;6691;6877;4814;7029;5440;6524
42 - SANTA CATARINA;Rotavírus Humano;89874;10078;7286;8111;7766;8335;8119;8744;6000;7509;7659;7144;5424;9027;6629;7409;6750;7308;7956;7725;8164;11223;6726;7620;5564;8749;4991;7250;5286;6937;6803;7500;4951;14668;8447;8513;6348;9514;6206;6833;6840;7171;7368;7815;8643;7315;8857;7772;6373;9274;6609;8301;7609;7688;7370;8668;8577;8310;8800;7154;5504;8843;5935;5645;6616;7774;7884;8440;8486;7739;8245;7334;6286;8402;5995;7123;6599;6676;6890;6766;7418;7214;7082;7119;5886;7450;6196;7025;5977;6942;6955;7456;8967;8226;8044;7553;6515;8738;5903;7316
42 - SANTA CATARINA;Tríplice Viral - D1;89874;7841;7975;8426;8035;9359;7912;7921;5964;5809;5716;6494;4886;8523;7771;7621;8189;7696;7635;7333;6986;7773;5323;6536;4784;8629;6112;8350;6390;8557;6977;6878;7412;7973;6630;6648;4724;8167;7157;7303;8091;8410;7370;8375;10702;4595;6547;6662;4738;8019;7145;7920;7900;8664;7035;8604;9605;8108;9902;7160;4456;8139;7582;5632;5377;8369;7541;6937;6958;7586;10768;6504;4778;7199;6729;6494;8198;6996;7025;7314;7680;7114;7705;7723;5653;7306;7988;6826;6554;3983;6923;10207;11946;10395;7804;7667;5382;8637;7592;7902
42 - SANTA CATARINA;Tríplice Viral - D2;89874;7228;5572;5004;5015;6867;5183;6209;4427;4906;3274;5014;4927;6671;5487;6388;7459;7902;8004;7832;7459;9228;5557;6722;5006;7830;5182;6342;5559;7238;6235;6607;6878;7305;5768;6370;4381;6707;5419;5495;5715;6576;6003;7728;7399;6881;8890;8033;5108;7640;6620;7214;7331;8025;6461;7953;9103;8143;10568;8053;5122;8578;7986;5793;5277;8160;7643;7371;6163;5731;9438;7053;5227;7267;6305;6382;5031;4843;4784;5504;5978;5437;6027;6083;4590;5548;5446;4816;4530;2159;4577;7087;8802;7991;6747;7556;5520;7623;4916;5597
42 - SANTA CATARINA;Varicela;89874;7457;5716;5067;4989;6824;5224;6213;4457;4888;3135;4694;4737;6475;5290;6302;7340;7836;8011;7846;7472;9245;5566;6719;5017;7795;5138;6293;5498;7145;6162;6561;6835;7000;5457;5965;4129;6501;5400;5465;5680;6483;5968;7658;6738;6832;8900;8014;5091;7635;6618;7182;7284;7958;6425;7914;9041;8057;10224;7898;5029;8438;7866;5727;5146;7933;7361;7148;6342;6324;10531;7336;5310;7083;6179;6253;5559;5500;5673;6581;7141;6464;7104;7078;5351;6529;6174;5950;5779;4511;5942;7925;10112;8998;7537;8082;5727;8084;5433;6754
